feature_id	chromosome	summary_file	sample_size
LINGO4.Skin_Not_Sun_Exposed_Suprapubic	1	../summary/WH_GTEx/LINGO4.Skin_Not_Sun_Exposed_Suprapubic	AUTO
LINGO4.Skin_Sun_Exposed_Lower_leg	1	../summary/WH_GTEx/LINGO4.Skin_Sun_Exposed_Lower_leg	AUTO
LMAN2.Cells_Cultured_fibroblasts	5	../summary/WH_GTEx/LMAN2.Cells_Cultured_fibroblasts	AUTO
LMAN2.Whole_Blood	5	../summary/WH_GTEx/LMAN2.Whole_Blood	AUTO
LRRC43.Whole_Blood	12	../summary/WH_GTEx/LRRC43.Whole_Blood	AUTO
MANBA.Skin_Not_Sun_Exposed_Suprapubic	4	../summary/WH_GTEx/MANBA.Skin_Not_Sun_Exposed_Suprapubic	AUTO
MANBA.Skin_Sun_Exposed_Lower_leg	4	../summary/WH_GTEx/MANBA.Skin_Sun_Exposed_Lower_leg	AUTO
MANBA.Whole_Blood	4	../summary/WH_GTEx/MANBA.Whole_Blood	AUTO
MAP3K11.Skin_Not_Sun_Exposed_Suprapubic	11	../summary/WH_GTEx/MAP3K11.Skin_Not_Sun_Exposed_Suprapubic	AUTO
MAP3K11.Skin_Sun_Exposed_Lower_leg	11	../summary/WH_GTEx/MAP3K11.Skin_Sun_Exposed_Lower_leg	AUTO
MAP3K11.Whole_Blood	11	../summary/WH_GTEx/MAP3K11.Whole_Blood	AUTO
MARS2.Skin_Sun_Exposed_Lower_leg	2	../summary/WH_GTEx/MARS2.Skin_Sun_Exposed_Lower_leg	AUTO
MAST2.Cells_Cultured_fibroblasts	1	../summary/WH_GTEx/MAST2.Cells_Cultured_fibroblasts	AUTO
MAST2.Skin_Not_Sun_Exposed_Suprapubic	1	../summary/WH_GTEx/MAST2.Skin_Not_Sun_Exposed_Suprapubic	AUTO
MBD2.Skin_Sun_Exposed_Lower_leg	18	../summary/WH_GTEx/MBD2.Skin_Sun_Exposed_Lower_leg	AUTO
MDH1.Cells_Cultured_fibroblasts	2	../summary/WH_GTEx/MDH1.Cells_Cultured_fibroblasts	AUTO
MDH1.Skin_Not_Sun_Exposed_Suprapubic	2	../summary/WH_GTEx/MDH1.Skin_Not_Sun_Exposed_Suprapubic	AUTO
MDH1.Whole_Blood	2	../summary/WH_GTEx/MDH1.Whole_Blood	AUTO
MED24.Cells_Cultured_fibroblasts	17	../summary/WH_GTEx/MED24.Cells_Cultured_fibroblasts	AUTO
MED24.Skin_Not_Sun_Exposed_Suprapubic	17	../summary/WH_GTEx/MED24.Skin_Not_Sun_Exposed_Suprapubic	AUTO
MED24.Skin_Sun_Exposed_Lower_leg	17	../summary/WH_GTEx/MED24.Skin_Sun_Exposed_Lower_leg	AUTO
MED24.Whole_Blood	17	../summary/WH_GTEx/MED24.Whole_Blood	AUTO
MEI1.Cells_Cultured_fibroblasts	22	../summary/WH_GTEx/MEI1.Cells_Cultured_fibroblasts	AUTO
MEI1.Cells_EBV-transformed_lymphocytes	22	../summary/WH_GTEx/MEI1.Cells_EBV-transformed_lymphocytes	AUTO
MEI1.Skin_Not_Sun_Exposed_Suprapubic	22	../summary/WH_GTEx/MEI1.Skin_Not_Sun_Exposed_Suprapubic	AUTO
MEI1.Skin_Sun_Exposed_Lower_leg	22	../summary/WH_GTEx/MEI1.Skin_Sun_Exposed_Lower_leg	AUTO
MEI1.Whole_Blood	22	../summary/WH_GTEx/MEI1.Whole_Blood	AUTO
MPHOSPH9.Skin_Not_Sun_Exposed_Suprapubic	12	../summary/WH_GTEx/MPHOSPH9.Skin_Not_Sun_Exposed_Suprapubic	AUTO
MPHOSPH9.Skin_Sun_Exposed_Lower_leg	12	../summary/WH_GTEx/MPHOSPH9.Skin_Sun_Exposed_Lower_leg	AUTO
MRPS33.Cells_EBV-transformed_lymphocytes	7	../summary/WH_GTEx/MRPS33.Cells_EBV-transformed_lymphocytes	AUTO
MSL1.Skin_Sun_Exposed_Lower_leg	17	../summary/WH_GTEx/MSL1.Skin_Sun_Exposed_Lower_leg	AUTO
